Name__English_,Name__Chinese_,Region_of_Focus,Language,Entity_owner__English_,Entity_owner__Chinese_,Parent_entity__English_,Parent_entity__Chinese_,X__Twitter__handle,X__Twitter__URL,X__Twitter__Follower__
CGTN Culture,,Anglosphere,English,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,CGTN_Culture,https://twitter.com/CGTN_Culture,1537
CGTN Dialogue,,Anglosphere,English,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,CGTN_Dialogue,https://twitter.com/CGTN_Dialogue,1011
CGTN Inheritors,,Anglosphere,English,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,cgtn_inheritors,https://twitter.com/cgtn_inheritors,0
CGTN Style,,Anglosphere,English,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,CGTN_Style,https://twitter.com/CGTN_Style,56
CGTN Africa,,African Union,English,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,cgtnafrica,https://twitter.com/cgtnafrica,149100
CGTN America,,USA,English,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,cgtnamerica,https://twitter.com/cgtnamerica,288200
CGTN Arabic,,MENA,Arabic,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,cgtnarabic,https://twitter.com/cgtnarabic,668300
CGTN Business,,Anglosphere,English,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,CGTNBusiness,https://twitter.com/CGTNBusiness,1162
CGTN DC Producers,,USA,English,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,CGTNDCproducers,https://twitter.com/CGTNDCproducers,455
CGTN Europe,中国环球电视网欧洲分台,EU,English,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,CGTNEurope,https://twitter.com/CGTNEurope,18200
CGTN Europe Breaking News,,EU,English,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,CGTNEuropebreak,https://twitter.com/CGTNEuropebreak,1741
CGTN Food,,Anglosphere,English,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,CGTNFood,https://twitter.com/CGTNFood,98
CGTN Français,CGTN法语频道,la Francophonie,French,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,CGTNFrancais,https://twitter.com/CGTNFrancais,977800
CGTN Global Business,,Anglosphere,English,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,CGTNGlobalBiz,https://twitter.com/CGTNGlobalBiz,12500
CGTN Graphics,,Anglosphere,English,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,CGTNGraphics,https://twitter.com/CGTNGraphics,914
CGTN Movies,,Anglosphere,English,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,CGTNMovies,https://twitter.com/CGTNMovies,79
CGTN,CGTN,Anglosphere,English,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,CGTNOfficial,https://twitter.com/CGTNOfficial,"13,000,000"
CGTN Radio,,Anglosphere,English,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,cgtnradio,https://twitter.com/CGTNRadio,725200
CGTN Russian,,Russia,Russian,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,cgtnrussian,https://twitter.com/cgtnrussian,87500
CGTN Sports,,Anglosphere,English,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,CGTNSports,https://twitter.com/CGTNSports,1046
